Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Short,Middle,Long,Buy,Sell,Profits
BHARTIARTL,EQ,363.25,362.4,362.4,357.1,361.0,359.9,359.89,2815172,101314225945000.0,42099,849994,0.3019,359.1131290244716,349.4527296988606,337.81735801477976,,,0.0
BHARTIARTL,EQ,359.9,357.05,364.95,357.05,363.55,363.75,362.51,3768622,136616165225000.0,55980,1396647,0.37060000000000004,360.6587526829811,350.9577055200332,338.64061649050103,,,0.0
BHARTIARTL,EQ,363.75,362.55,362.95,351.65,353.75,353.3,355.79,5075586,180582011355000.0,89044,2627961,0.5178,358.20583512198743,351.20426283371387,339.10599374477084,,,0.0
BHARTIARTL,EQ,353.3,355.6,355.6,342.1,345.9,344.0,348.21,6956493,242230078475000.0,103027,3331748,0.4646,353.4705567479916,350.44591937753347,339.26135902271466,,,0.0
BHARTIARTL,EQ,344.0,345.4,347.35,341.2,346.2,345.15,343.69,4885837,167922967920000.0,59658,2156630,0.43520000000000003,350.6970378319944,349.88845417989836,339.4483000061205,,,0.0
BHARTIARTL,EQ,345.15,346.5,348.0,334.3,340.2,341.1,341.76,3934382,134461371605000.0,52158,1892768,0.4811,347.4980252213296,348.96335373990905,339.5007349265611,,341.1,34110.0
BHARTIARTL,EQ,341.1,339.25,350.0,339.2,349.75,348.55,347.04,3498169,121399443630000.0,38476,1439874,0.41159999999999997,347.84868348088645,348.9198428199186,339.78801318286077,,,0.0
BHARTIARTL,EQ,348.55,347.5,349.9,342.7,344.05,343.8,345.62,9584254,331247528130000.0,67420,7696429,0.8029999999999999,346.499122320591,348.3809119967692,339.91537784372235,,,0.0
BHARTIARTL,EQ,343.8,345.15,348.55,343.5,345.5,345.1,346.24,3249667,112515820209999.98,46761,1575190,0.4847,346.03274821372736,348.0355528392146,340.07996902328676,,,0.0
BHARTIARTL,EQ,345.1,345.45,352.0,344.55,347.65,348.6,347.21,2796405,97093746285000.0,34292,1476958,0.5282,346.8884988091516,348.0949683298236,340.3504461971507,,,0.0
BHARTIARTL,EQ,348.6,350.0,352.0,342.55,345.5,345.55,346.87,4645627,161144921345000.0,64160,2110807,0.45439999999999997,346.44233253943446,347.8270769266843,340.51551139724114,,,0.0
BHARTIARTL,EQ,345.55,347.25,350.85,340.9,348.4,348.65,346.63,12895120,446984767625000.0,85691,9407789,0.7295999999999999,347.1782216929563,347.91370040808596,340.77374913066205,,,0.0
